=== Loading wragge/hansard-xml speeches ===
  Found 13247 XML files
  Loaded 424976 existing dedup keys
  [1989/13247] 67000 inserted, 2286 deduped
  [2000/13247] 67220 inserted, 2286 deduped
  [2012/13247] 67500 inserted, 2286 deduped
  [2020/13247] 68000 inserted, 2286 deduped
  [2040/13247] 68500 inserted, 2286 deduped
  [2058/13247] 69000 inserted, 2286 deduped
  [2074/13247] 69500 inserted, 2286 deduped
  [2086/13247] 70000 inserted, 2286 deduped
  [2099/13247] 70500 inserted, 2286 deduped
  [2111/13247] 71000 inserted, 2286 deduped
  [2122/13247] 71500 inserted, 2286 deduped
  [2145/13247] 72000 inserted, 2286 deduped
  [2156/13247] 72500 inserted, 2286 deduped
  [2167/13247] 73000 inserted, 2286 deduped
  [2177/13247] 73500 inserted, 2286 deduped
  [2189/13247] 74000 inserted, 2286 deduped
  [2199/13247] 74500 inserted, 2286 deduped
  [2205/13247] 75000 inserted, 2286 deduped
  [2210/13247] 75500 inserted, 2287 deduped
  [2229/13247] 76000 inserted, 2287 deduped
  [2240/13247] 76500 inserted, 2287 deduped
  [2248/13247] 77000 inserted, 2287 deduped
  [2261/13247] 77500 inserted, 2288 deduped
  [2271/13247] 78000 inserted, 2288 deduped
  [2286/13247] 78500 inserted, 2288 deduped
  [2298/13247] 79000 inserted, 2288 deduped
  [2310/13247] 79500 inserted, 2288 deduped
  [2326/13247] 80000 inserted, 2288 deduped
  [2334/13247] 80500 inserted, 2288 deduped
  [2348/13247] 81000 inserted, 2294 deduped
  [2362/13247] 81500 inserted, 2294 deduped
  [2373/13247] 82000 inserted, 2294 deduped
  [2385/13247] 82500 inserted, 2294 deduped
  [2398/13247] 83000 inserted, 2294 deduped
  [2403/13247] 83500 inserted, 2294 deduped
  [2411/13247] 84000 inserted, 2294 deduped
  [2418/13247] 84500 inserted, 2294 deduped
  [2431/13247] 85000 inserted, 2294 deduped
  [2445/13247] 85500 inserted, 2294 deduped
  [2459/13247] 86000 inserted, 2294 deduped
  [2470/13247] 86500 inserted, 2294 deduped
  [2486/13247] 87000 inserted, 2294 deduped
  [2500/13247] 87500 inserted, 2294 deduped
  [2510/13247] 88000 inserted, 2294 deduped
  [2518/13247] 88500 inserted, 2294 deduped
  [2527/13247] 89000 inserted, 2294 deduped
  [2538/13247] 89500 inserted, 2294 deduped
  [2547/13247] 90000 inserted, 2294 deduped
  [2558/13247] 90500 inserted, 2294 deduped
  [2568/13247] 91000 inserted, 2294 deduped
  [2574/13247] 91500 inserted, 2294 deduped
  [2584/13247] 92000 inserted, 2294 deduped
  [2596/13247] 92500 inserted, 2294 deduped
  [2609/13247] 93000 inserted, 2294 deduped
  [2620/13247] 93500 inserted, 2294 deduped
  [2629/13247] 94000 inserted, 2294 deduped
  [2648/13247] 94500 inserted, 2294 deduped
  [2658/13247] 95000 inserted, 2294 deduped
  [2671/13247] 95500 inserted, 2294 deduped
  [2683/13247] 96000 inserted, 2294 deduped
  [2695/13247] 96500 inserted, 2295 deduped
  [2716/13247] 97000 inserted, 2295 deduped
  [2728/13247] 97500 inserted, 2295 deduped
  [2749/13247] 98000 inserted, 2295 deduped
  [2761/13247] 98500 inserted, 2295 deduped
  [2780/13247] 99000 inserted, 2295 deduped
  [2786/13247] 99500 inserted, 2295 deduped
  [2801/13247] 100000 inserted, 2295 deduped
  [2818/13247] 100500 inserted, 2295 deduped
  [2830/13247] 101000 inserted, 2295 deduped
  [2846/13247] 101500 inserted, 2295 deduped
  [2858/13247] 102000 inserted, 2295 deduped
  [2874/13247] 102500 inserted, 2295 deduped
  [2887/13247] 103000 inserted, 2295 deduped
  [2899/13247] 103500 inserted, 2295 deduped
  [2919/13247] 104000 inserted, 2295 deduped
  [2927/13247] 104500 inserted, 2295 deduped
  [2940/13247] 105000 inserted, 2295 deduped
  [2961/13247] 105500 inserted, 2295 deduped
  [2971/13247] 106000 inserted, 2295 deduped
  [2977/13247] 106500 inserted, 2295 deduped
  [2991/13247] 107000 inserted, 2295 deduped
  [3000/13247] 107431 inserted, 2295 deduped
  [3003/13247] 107500 inserted, 2295 deduped
  [3011/13247] 108000 inserted, 2295 deduped
  [3030/13247] 108500 inserted, 2295 deduped
  [3039/13247] 109000 inserted, 2295 deduped
